GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cs56Parser,edu.ucsb.cs56.pconrad.parsing,Main,0,76,0,10,0,18,0,10,0,5
cs56Parser,edu.ucsb.cs56.pconrad.parsing,DefaultInterpreterInterface,0,20,0,0,0,5,0,5,0,5
cs56Parser,edu.ucsb.cs56.pconrad.parsing,InterpreterInterface,0,17,0,0,0,3,0,3,0,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,Plus,0,9,0,0,0,3,0,2,0,2
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,OperatorScaffold,8,21,2,2,2,6,4,3,2,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,Div,0,9,0,0,0,3,0,2,0,2
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,Binop,40,48,4,4,7,13,6,5,2,5
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,UnaryMinus,18,22,2,2,2,6,4,3,2,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,Minus,0,9,0,0,0,3,0,2,0,2
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,Literal,0,29,1,3,0,7,1,6,0,5
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,DefaultASTFactory,0,46,0,0,0,8,0,8,0,8
cs56Parser,edu.ucsb.cs56.pconrad.parsing.syntax,Times,0,9,0,0,0,3,0,2,0,2
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,TimesToken,2,3,0,0,1,1,1,1,1,1
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,IntToken,21,31,2,4,3,9,3,4,1,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,FiniteStateAutomaton,223,328,27,25,28,75,21,20,3,12
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,RParenToken,0,5,0,0,0,2,0,2,0,2
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,Tokenizer,62,183,14,4,11,37,9,14,2,12
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,DivideToken,2,3,0,0,1,1,1,1,1,1
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,Token,10,14,1,3,3,4,3,3,2,2
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,LParenToken,2,3,0,0,1,1,1,1,1,1
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,ModToken,5,0,0,0,2,0,2,0,2,0
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,PlusToken,2,3,0,0,1,1,1,1,1,1
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,MinusToken,2,3,0,0,1,1,1,1,1,1
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,DefaultTokenFactory,6,42,0,0,1,10,1,10,1,10
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,ErrorToken,2,36,1,3,0,8,1,4,0,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.tokenizer,FiniteStateAutomaton.State,118,17,10,0,20,5,9,1,4,1
cs56Parser,edu.ucsb.cs56.pconrad.parsing.evaluator,EvaluatorException,0,4,0,0,0,2,0,1,0,1
cs56Parser,edu.ucsb.cs56.pconrad.parsing.evaluator,Evaluator,0,80,0,16,0,22,0,11,0,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.parser,Parser.ParseAdditive,0,16,0,0,0,3,0,3,0,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.parser,ParseResult,0,15,0,0,0,6,0,3,0,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.parser,ParseAdditiveOrMultiplicative,0,46,0,2,0,14,0,3,0,2
cs56Parser,edu.ucsb.cs56.pconrad.parsing.parser,Parser,0,250,1,21,0,48,1,20,0,10
cs56Parser,edu.ucsb.cs56.pconrad.parsing.parser,Parser.ParseMultiplicative,0,16,0,0,0,3,0,3,0,3
cs56Parser,edu.ucsb.cs56.pconrad.parsing.parser,ParserException,0,4,0,0,0,2,0,1,0,1
